CLAVEALUMNO,MEAN_IMPKDE_Z,VISITAS,n_student_classroom_observations,n_unique_classroom_units,n_unique_professors,n_unique_subject_variants,n_unique_years,mean_raw_grade_numeric,mean_impmean,mean_impkde,mean_impkde_z
163302,0.6751616446877712,2,2,2,2,2,1,9.3,9.3,9.3,0.6751616446877712
163347,0.4618306143107515,2,3,3,3,3,1,8.0,8.0,8.0,0.4618306143107515
163363,0.9769221483997095,2,3,3,2,3,1,9.733333333333334,9.733333333333334,9.733333333333334,0.9769221483997095
163384,0.46528023092650456,2,3,3,3,3,1,8.966666666666667,8.966666666666667,8.966666666666667,0.46528023092650456
163388,0.7553781577099717,2,3,3,3,3,1,9.633333333333333,9.633333333333333,9.633333333333333,0.7553781577099717
163433,1.204345324524004,2,2,2,1,2,1,9.850000000000001,9.850000000000001,9.850000000000001,1.204345324524004
163434,0.34983851326982257,2,3,3,3,3,1,9.166666666666666,9.166666666666666,9.166666666666666,0.34983851326982257
163481,0.8578372469172709,2,3,3,3,3,1,9.566666666666668,9.566666666666668,9.566666666666668,0.8578372469172709
163500,-0.09942471846668294,2,3,3,3,2,2,8.65,7.433333333333334,5.766666666666667,-0.09942471846668294
163640,0.009220404766269868,2,4,4,4,3,2,9.3,8.633333333333333,8.125,0.009220404766269868
163758,1.5071406861016947,2,2,2,2,2,1,9.399999999999999,9.399999999999999,9.399999999999999,1.5071406861016947
163884,-0.3553589908496064,2,2,2,2,1,1,7.6,7.3,7.05,-0.3553589908496064
163905,1.481820484415923,2,2,2,2,2,1,9.8,9.8,9.8,1.481820484415923
163955,-0.20713156968795343,2,3,3,3,2,2,8.35,7.091666666666666,8.0,-0.20713156968795343
164003,-0.3262698899948282,2,4,4,4,3,2,7.7,7.7,7.7,-0.3262698899948282
164087,0.35911069490342085,2,4,4,4,3,3,9.033333333333333,8.1,8.35,0.35911069490342085
164094,-0.5798395526760157,2,3,3,3,3,2,9.35,8.62,8.6,-0.5798395526760157
164175,0.6675945882220975,2,2,2,2,2,1,9.85,9.85,9.85,0.6675945882220975
164204,-0.3743169127611374,2,4,4,3,3,2,8.0,8.0,8.0,-0.3743169127611374
