CLASSROOM_UNIT_ID,professor_id,subject_variant,subject_name,year,session,n_student_classroom_observations,n_unique_students,n_unique_careers,mean_visits,median_visits,max_visits,mean_raw_grade_numeric,raw_grade_missing_count,raw_grade_non_missing_count,mean_impmean,mean_impkde,raw_grade_missing_prop,classroom_size
21852 | MAT1052 | 2020 | PRIMAVERA,21852,MAT1052,ESTADÍSTICA PARA CIENCIAS SOCIALES,2020,PRIMAVERA,67,67,10,0.34328358208955223,0.0,4,9.253225806451614,5,62,9.055223880597016,8.853731343283583,0.07462686567164178,67
16164 | MAT2022 | 2021 | PRIMAVERA,16164,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2021,PRIMAVERA,67,67,10,0.9253731343283582,0.0,11,8.668181818181818,1,66,8.62776119402985,8.631343283582089,0.014925373134328358,67
25487 | MAT1012 | 2024 | PRIMAVERA,25487,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,PRIMAVERA,67,67,26,0.582089552238806,0.0,9,7.66774193548387,5,62,7.195251017639077,7.095522388059702,0.07462686567164178,67
25494 | MAT1012 | 2024 | PRIMAVERA,25494,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,PRIMAVERA,67,67,18,1.8805970149253732,1.0,15,9.217857142857143,11,56,8.40497512437811,8.100000000000001,0.16417910447761194,67
23835 | MAT1022 | 2020 | PRIMAVERA,23835,MAT1022,CÁLCULO I,2020,PRIMAVERA,65,65,20,1.9384615384615385,1.0,11,8.576666666666666,5,60,8.367884615384616,8.361538461538462,0.07692307692307693,65
24117 | MAT1012 | 2020 | OTOÑO,24117,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,65,65,22,1.323076923076923,0.0,13,8.05,9,56,7.774674556213018,7.624615384615385,0.13846153846153847,65
23837 | MAT2012 | 2021 | PRIMAVERA,23837,MAT2012,CÁLCULO II,2021,PRIMAVERA,65,65,20,2.0615384615384613,0.0,17,7.7124999999999995,9,56,7.293254437869822,7.281538461538462,0.13846153846153847,65
23425 | MAT1012 | 2022 | OTOÑO,23425,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,65,65,20,1.8615384615384616,0.0,17,8.12741935483871,3,62,7.8364102564102565,7.892307692307693,0.046153846153846156,65
25531 | MAT1012 | 2025 | PRIMAVERA,25531,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2025,PRIMAVERA,65,65,20,0.0,0.0,0,8.459322033898305,6,59,8.044615384615383,7.947692307692308,0.09230769230769231,65
22114 | MAT1022 | 2020 | PRIMAVERA,22114,MAT1022,CÁLCULO I,2020,PRIMAVERA,64,64,23,3.046875,1.0,33,8.574193548387097,2,62,8.485763888888888,8.4546875,0.03125,64
23452 | MAT1032 | 2020 | PRIMAVERA,23452,MAT1032,ÁLGEBRA LINEAL,2020,PRIMAVERA,64,64,16,1.796875,0.0,15,9.040625,0,64,9.040625,9.040625,0.0,64
23824 | MAT1022 | 2021 | PRIMAVERA,23824,MAT1022,CÁLCULO I,2021,PRIMAVERA,64,64,21,1.59375,0.0,39,9.239655172413793,6,58,8.9828125,8.9828125,0.09375,64
23149 | MAT1012 | 2022 | OTOÑO,23149,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,64,64,24,5.390625,3.0,30,8.548717948717949,25,39,7.486160714285715,6.484375,0.390625,64
23453 | MAT1012 | 2022 | OTOÑO,23453,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,64,64,21,2.53125,0.0,43,7.418918918918919,27,37,6.6965625,6.334375,0.421875,64
23824 | MAT1032 | 2020 | PRIMAVERA,23824,MAT1032,ÁLGEBRA LINEAL,2020,PRIMAVERA,63,63,14,2.0952380952380953,0.0,28,9.388709677419355,1,62,9.298412698412697,9.357142857142858,0.015873015873015872,63
23434 | MAT1012 | 2022 | OTOÑO,23434,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,63,63,25,2.9365079365079363,1.0,48,8.1625,15,48,7.7214285714285715,7.5809523809523816,0.23809523809523808,63
20792 | MAT1022 | 2023 | PRIMAVERA,20792,MAT1022,CÁLCULO I,2023,PRIMAVERA,63,63,21,4.333333333333333,1.0,36,7.048275862068966,34,29,6.034188034188035,4.657142857142857,0.5396825396825397,63
25494 | MAT1012 | 2024 | OTOÑO,25494,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,OTOÑO,63,63,22,0.0,0.0,0,9.153703703703703,9,54,8.867460317460317,8.717460317460318,0.14285714285714285,63
