CLAVEPROFESOR,n_unique_students,n_student_classroom_observations,n_unique_subject_variants,n_unique_years,n_unique_sessions,mean_student_visits,median_student_visits,mean_raw_grade_numeric,mean_impkde_z,n_classroom_units,mean_classroom_size,median_classroom_size,min_classroom_size,max_classroom_size
21192,429,470,4,5,2,1.5893617021276596,0.0,9.196498905908097,-2.7117787920631485e-16,15,31.333333333333332,28.0,10,72
22471,424,446,3,7,2,2.336322869955157,0.0,7.427304964539007,-2.4444820856096495e-16,16,27.875,28.5,9,55
24085,388,443,3,6,2,1.507900677200903,0.0,9.517464114832537,1.4886511887750406e-15,11,40.27272727272727,35.0,28,62
23839,374,397,4,5,2,1.256926952141058,0.0,8.078386167146974,2.3546795635626743e-16,11,36.09090909090909,30.0,9,84
23887,368,373,5,6,2,1.3351206434316354,0.0,8.29153605015674,-2.291881310888393e-16,12,31.083333333333332,28.5,15,61
21853,367,380,4,6,2,1.6263157894736842,0.0,8.657478005865102,2.1035804677108228e-16,12,31.666666666666668,31.0,13,57
23468,340,362,3,3,2,1.5662983425414365,0.0,8.00125786163522,3.404275020259458e-17,6,60.333333333333336,59.0,32,89
23874,322,347,4,5,2,2.2276657060518734,0.0,7.971917808219179,4.730723511866793e-16,11,31.545454545454547,30.0,20,60
23824,315,335,4,5,2,1.2686567164179106,0.0,8.853074433656957,-3.1732493912793655e-16,8,41.875,30.5,18,70
23837,314,345,3,3,2,2.063768115942029,0.0,7.805351170568563,-4.360441154687209e-17,7,49.285714285714285,35.0,28,90
18269,309,323,3,4,2,2.0959752321981426,0.0,8.242857142857142,-1.3886380865280596e-16,10,32.3,29.0,18,59
23835,288,327,4,4,2,2.1926605504587156,0.0,8.03274647887324,-1.5821526895269815e-16,10,32.7,30.5,8,65
22109,287,290,5,6,2,0.44482758620689655,0.0,8.1,-3.675221047035001e-17,8,36.25,29.5,23,62
23859,286,288,2,3,2,1.2638888888888888,0.0,9.484229390681003,-1.314534900684647e-16,8,36.0,26.5,14,75
23133,278,290,4,3,2,0.7620689655172413,0.0,8.64903474903475,-2.855953021966782e-16,7,41.42857142857143,31.0,17,95
23096,277,293,4,6,2,1.7849829351535835,0.0,8.449180327868852,-7.028886384572237e-17,11,26.636363636363637,28.0,18,36
21854,276,288,4,5,2,1.5381944444444444,0.0,7.690416666666667,-1.279840431165111e-16,10,28.8,31.0,11,40
23823,270,276,2,5,2,1.6594202898550725,0.0,8.306799999999999,7.703177870134691e-17,10,27.6,28.0,10,56
23153,234,257,3,4,2,1.33852140077821,0.0,8.59590909090909,-1.1102230246251565e-16,8,32.125,29.5,19,60
21228,231,235,2,6,2,0.8723404255319149,0.0,7.900552486187845,1.582658354252883e-17,10,23.5,22.0,14,44
23442,203,216,3,4,2,2.9583333333333335,1.0,8.816,2.14848714950609e-16,7,30.857142857142858,30.0,13,54
22503,201,204,3,5,2,1.4411764705882353,0.0,8.021604938271604,1.1537611824535941e-16,7,29.142857142857142,26.0,11,60
24117,191,198,3,3,2,1.9343434343434343,0.0,8.050588235294118,4.0932465049311326e-17,6,33.0,29.5,13,65
23218,177,181,3,2,2,1.1546961325966851,0.0,7.977852348993289,4.017657906792694e-17,4,45.25,45.0,22,69
24827,171,177,3,3,2,2.2937853107344632,0.0,8.290967741935484,1.0224087740898334e-16,7,25.285714285714285,27.0,15,34
25494,165,165,1,2,2,0.7636363636363637,0.0,8.983687943262412,-3.290297327525464e-16,3,55.0,63.0,35,67
25093,159,159,3,3,2,0.6352201257861635,0.0,9.786666666666667,-7.743631033391815e-16,6,26.5,27.0,24,28
22091,141,142,2,3,2,2.1619718309859155,1.0,9.086363636363638,-1.289266033525974e-15,4,35.5,28.0,25,61
25487,128,130,1,2,2,0.3,0.0,8.373387096774193,2.869499509800405e-16,3,43.333333333333336,32.0,31,67
25496,122,123,2,2,2,0.24390243902439024,0.0,8.484545454545454,1.4441925523579274e-17,3,41.0,35.0,27,61
20530,106,107,2,1,2,0.8037383177570093,0.0,8.550485436893204,-2.0751832235984234e-17,4,26.75,25.0,15,42
20566,106,106,2,1,2,0.12264150943396226,0.0,9.045098039215686,3.291392315928825e-16,2,53.0,53.0,30,76
25503,97,116,2,2,2,0.3448275862068966,0.0,9.4018018018018,1.1437211331267776e-16,4,29.0,29.5,22,35
25843,97,97,2,2,2,0.07216494845360824,0.0,8.049397590361446,1.4078085776174665e-16,3,32.333333333333336,32.0,30,35
25531,95,95,2,1,1,0.14736842105263157,0.0,8.674999999999999,-1.5192525600133721e-16,2,47.5,47.5,30,65
20529,94,97,2,3,2,2.5463917525773194,1.0,9.019540229885058,5.379431150245604e-17,4,24.25,25.5,16,30
22480,85,85,2,1,1,0.9176470588235294,0.0,8.689743589743589,-3.970679993953501e-16,2,42.5,42.5,29,56
24510,71,71,2,1,2,1.0140845070422535,0.0,7.634426229508197,3.3775799059018846e-16,3,23.666666666666668,26.0,15,30
