id,carrera1,carrera2,carrera3
162778,LAR,,
162780,LCS,LII,
162781,LII,,
162782,LAD,,
162783,LII,,
162784,LQI,,
162785,LPM,,
162786,LAR,,
162787,LNI,,
162788,LHC,,
162789,LEC,,
162790,LRI,,
162791,LNI,,
162792,LNA,,
162793,LPA,,
162795,LAT,LDS,
162796,LBC,,
162797,LAD,,
162798,LNI,,
162799,LII,,
162800,LNI,,
162803,LBC,LFB,
162807,LBM,,
162811,LMT,,
162817,LCN,,
162819,LBI,,
162820,LIY,,
162822,LMT,,
162823,LFA,,
162824,LMT,,
162826,LNI,,
162831,LAD,,
162832,LEF,,
162833,LEF,,
162834,LEF,,
162836,LIM,,
162837,LAD,,
162838,LPD,,
162839,LPA,LPO,
162840,LRP,,
162843,LNI,,
162845,LFA,,
162846,LNM,,
162847,LAT,,
162849,LAD,,
162850,LNI,,
162851,LNI,,
162854,LRI,LPT,
162856,LRM,,
162857,LNM,,
162858,LPA,,
162861,LII,,
162862,LNI,,
162863,LFB,,
162865,LRI,,
162867,LIC,,
162869,LIM,,
162871,LPA,,
162872,LRI,,
162875,LCU,,
162880,LPM,,
162885,LPM,,
162886,BFP,,
162887,LBN,,
162889,LFP,,
162891,LAT,,
162893,LPM,,
162894,LRI,,
162895,LAD,,
162899,LEC,,
162901,LBN,,
162902,LFP,,
162903,LMT,,
162904,LMT,,
162907,LRI,LPT,
162908,LBN,,
162909,LFP,,
162910,LRI,,
162914,LRI,,
162917,LEC,,
162918,LEC,,
162921,LII,,
162922,LII,,
162924,LNI,,
162925,LBI,,
162927,LNM,,
162928,LBN,,
162930,LRM,,
162932,LFP,,
162933,LAP,,
162934,LCS,,
162937,LAT,,
162939,LNM,,
162940,LAD,,
162941,LCS,,
162942,LAT,,
162946,LEF,,
162947,LPO,,
162950,LEC,,
162951,LII,,
162952,LNA,,
162955,LAD,,
162960,LEC,,
162961,LAT,,
162963,LNM,,
162964,LAD,,
162966,LQI,,
162967,LHR,,
162969,LFP,,
162971,LEA,LPA,
162972,LII,,
162975,LIC,,
162976,LIS,,
162977,LPD,,
162978,LIS,,
162981,LNI,,
162986,LPA,,
162993,LAT,,
162994,LRI,LPT,
162995,LBN,,
162997,LPT,LRI,
162998,LNI,,
163003,LAT,,
163006,LRP,,
163007,LHR,,
163008,LNI,,
163009,LMT,,
163013,LPA,,
163014,LBI,,
163016,LIC,,
163018,LBM,,
163020,LEC,,
163022,LAT,LDS,
163023,LRT,,
163024,LMK,,
163026,LII,,
163028,LBM,,
163030,LMT,,
163031,LIS,,
163032,LPA,,
163033,LPA,,
163035,LAR,,
163036,LDS,,
163037,LFB,LBC,
163040,LNM,,
163041,LNM,,
163042,LPT,,
163043,LBN,,
163044,LRT,,
163045,LCN,,
163049,LNI,,
163052,LIS,,
163053,LFP,,
163054,LAT,,
163055,LMT,,
163061,LMT,,
163062,LEA,,
163063,LEC,,
163064,LPA,,
163068,LFP,,
163069,LIC,,
163071,LRI,,
163074,LMT,,
163075,LNI,,
163077,LMK,,
163079,LAR,,
163080,LFP,,
163081,LBI,,
163084,LMK,,
163087,LAR,,
163091,LNI,,
163094,LAT,,
163095,LII,,
163096,LIN,,
163129,LAR,,
163134,LMK,,
163136,LAD,,
163139,LRP,,
163140,LAT,,
163150,LEF,,
163152,LRT,,
163153,LBC,LNM,
163155,LAT,,
163156,LIS,,
163158,LFP,,
163159,LCU,,
163160,LPM,,
163162,LFP,,
163163,LPD,,
163164,LIC,,
163165,LPA,,
163167,LMK,,
163169,LBC,,
163170,LFP,,
163171,LEF,,
163172,LBM,,
163173,LIM,,
163174,LMT,,
163175,LAR,,
163177,LBM,,
163179,LMK,,
163181,LAD,,
163182,LAR,,
163183,LPM,,
163185,LPM,,
163189,LQI,LIN,
163192,LBN,,
163193,LMK,,
163194,LNI,,
163198,LAR,,
163199,LRI,,
163202,LIM,,
163203,LNI,,
163205,LII,,
163206,LNM,,
163208,LNI,,
163209,LAT,,
163210,LBN,,
163211,LPA,,
163218,LAT,LDS,
163219,LEC,,
163221,LAT,LDS,
163226,LBN,,
163227,LPO,,
163231,LIS,,
163233,LII,,
163234,LII,,
163235,LAR,,
163236,LII,,
163237,LNI,,
163241,LNA,,
163244,LIC,,
163246,LII,,
163247,LIS,LMT,
163251,LBN,,
163253,LPO,,
163254,LEC,,
163255,LNI,,
163256,LAT,,
163258,LPO,,
163259,LIS,,
163260,LHR,,
163261,LMT,,
163263,LPM,,
163264,LAD,,
163265,LAD,LMK,
163266,LPA,LPO,
163267,LIC,,
163269,LHR,,
163270,LFP,,
163272,LIS,,
163275,LMT,LIM,
163276,LMK,,
163279,LNM,,
163281,LNI,,
163284,LNM,,
163285,LAD,,
163289,LFA,,
163290,LBN,,
163292,LFA,,
163293,LCS,LII,
163294,LRI,,
163297,LII,,
163299,LRP,,
163300,LBI,,
163302,LNI,,
163304,LBM,,
163305,LBC,,
163307,LEF,,
163308,LMK,,
163309,LAD,,
163310,LNI,,
163312,LBN,,
163313,LQI,LIN,
163314,LAD,,
163315,LBC,,
163318,LEC,,
163319,LMT,,
163329,LBN,,
163335,LFB,,
163337,LPT,,
163338,LNI,,
163339,LFP,,
163341,LRI,,
163342,LMT,,
163345,LEC,,
163347,LNI,,
163350,LMT,,
163355,LBN,,
163359,LRI,,
163360,LAT,,
163361,LNI,,
163362,LFB,LBC,
163363,LIC,,
163365,LNM,,
163368,LHR,,
163369,LNM,,
163370,LBI,,
163371,LAR,,
163372,LBI,,
163373,LNM,,
163374,LMT,,
163378,LEC,,
163379,LBN,,
163380,LIS,,
163382,LIC,,
163383,LRP,,
163384,LNM,,
163385,LEC,,
163388,LNM,,
163389,LBN,,
163390,LRT,LBM,
163391,LNM,,
163393,LIY,,
163394,LPD,,
163395,LNI,,
163397,LPA,,
163398,LPM,,
163399,LRI,,
163400,LPM,,
163401,LPT,,
163406,LNI,,
163407,LMK,,
163408,LRT,,
163410,LEF,,
163411,LAT,,
163412,LNI,,
163413,LAT,,
163414,LIM,,
163415,LMK,,
163416,LPA,,
163417,LBN,LEC,
163419,LEC,,
163420,LRI,,
163422,LDS,,
163424,LIY,,
163425,LAD,,
163427,LPA,,
163428,LFP,,
163429,LEC,,
163430,LMK,,
163433,LAT,,
163434,LIM,,
163435,LNM,,
163436,LAI,,
163437,LAT,,
163438,LAT,,
163442,LII,,
163443,LRI,LRM,
163444,LRP,,
163445,LRI,LPT,
163448,LAT,,
163449,LIS,,
163450,LIC,,
163451,LCS,,
163452,LEC,,
163453,LIS,,
163454,LII,,
163456,LBC,LFB,
163457,LFB,,
163461,LEF,,
163463,LII,,
163465,LRI,,
163466,LIS,,
163471,LRI,,
163473,LAR,,
163478,LMU,,
163480,LPM,,
163481,LII,,
163483,LNM,,
163484,LPA,,
163487,LAR,,
163488,LIM,,
163489,LCN,,
163491,LFB,,
163494,LHR,,
163495,LAD,,
163498,LFP,,
163499,LII,,
163500,LAD,LCN,
163507,LMT,,
163509,LII,,
163510,LII,,
163512,LEC,,
163514,LBI,,
163516,LAD,,
163518,LNM,,
163519,LFB,,
163525,LNI,,
163529,LPM,,
163530,LEC,,
163532,LNI,,
163533,LBC,LCN,
163534,LAD,,
163535,LRI,,
163537,LBC,,
163539,LIY,,
163540,LBN,,
163542,LPM,,
163543,LII,,
163544,LIS,,
163547,LAT,,
163548,LPA,,
163549,LBN,,
163550,LMU,,
163551,LNI,,
163552,LND,,
163553,LEC,,
163556,LAD,,
163560,LQI,,
163561,LMK,,
163562,LEF,,
163564,LFP,,
163572,LFP,,
163573,LFP,,
163576,LRI,,
163577,LIC,,
163578,LNI,,
163579,LIC,,
163581,LBN,,
163582,LAR,,
163583,LPM,,
163584,LMK,,
163586,LIC,,
163589,LPD,,
163590,LFA,,
163592,LIM,,
163593,LRI,,
163596,LMK,,
163598,BIM,,
163599,LNI,,
163600,LQI,,
163603,BPO,LPO,
163604,LBN,,
163606,LAD,,
163607,LBM,,
163608,LBM,,
163609,LAT,,
163610,LPM,,
163613,LBC,LFB,
163614,LAR,,
163615,LAD,,
163617,LAD,,
163620,LRT,,
163621,LAT,,
163622,LCS,,
163628,LEF,,
163632,LAR,,
163637,LEF,,
163639,LFA,,
163640,LMK,,
163643,LBC,,
163644,LDE,,
163645,LAR,,
163646,LRP,,
163647,LCS,,
163648,LII,,
163685,LAD,,
163686,LPO,,
163687,LEF,,
163688,LBM,,
163689,LHR,,
163693,LIC,,
163695,LCS,LII,
163696,LPO,,
163698,LEF,,
163699,LBM,,
163701,LIC,,
163703,LNM,,
163707,LNI,,
163708,LEF,,
163709,LMT,,
163710,LPA,,
163713,LAT,,
163714,LIY,,
163715,LBC,LFB,
163716,LIC,,
163717,LNI,,
163720,LRI,,
163722,LAR,,
163725,BBA,,
163726,BNI,,
163728,LIN,,
163729,LIC,,
163730,LBM,,
163731,LNM,,
163732,LEC,,
163735,LHR,,
163739,LBN,,
163742,LCS,,
163745,LFP,,
163746,LNA,,
163749,LAT,,
163751,LEF,,
163753,LEC,,
163754,LFP,,
163755,LAD,,
163758,LAT,,
163759,LPM,,
163760,LAT,,
163765,LFA,,
163771,LEF,,
163772,LMK,,
163777,LNM,,
163782,LNI,,
163783,LEF,,
163784,LII,,
163785,LII,,
163786,LHR,,
163790,LBN,,
163791,LCN,,
163796,LAT,,
163797,LIC,,
163799,LAR,,
163800,LCS,,
163801,LEF,,
163802,LFA,,
163804,LEF,,
163809,LFP,,
163811,LII,,
163813,LEA,,
163815,LPA,,
163816,LIM,,
163817,LEF,,
163818,LIC,,
163827,LII,,
163836,LII,,
163837,LEF,,
163838,LMK,,
163842,LAR,,
163848,LAT,,
163852,LRM,,
163853,LEF,,
163854,LCN,,
163855,LAT,,
